# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
goomba.txt
mushroom.txt
luckybrick.txt
block.txt
koopas.txt
checkfall.txt
map.txt
goombafly.txt
leaf.txt
plantbullet.txt
fire.txt
pipe.txt
koopasfly.txt
plantpiranha.txt
breakablebrick.txt
platform.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#Pipe
16	2272	148
16	2272	148
16	2272	40
16	2272	10
16	2336	164
16	2272	-10
16	2272	-40
16	2272	-70
16	2272	-110

#BRICKMAPUNDER
1	2085	350
1	2085	325
1	2085	300
1	2085	275
1	2085	250
1	2085	225
1	2085	200
1	2232	342
1	2249	326
1	2264	310
1	2279	294
1	2296	279
1	2312	262
1	2328	262
1	2344	262
1	2360	246
1	2360	230

#Map
11	1408	70


# MARIO
0	2160	200

#COIN
4	1080	85
4	1110	55
4	1144	25
4	1174	0
4	1336	-150
4	1347	-150
4	1360	-150
4	1480	-130
4	1495	-130
4	1540	-110
4	1555	-110
4	1570	-110
4	1585	-110
4	1620	-130
4	1635	-130
4	1650	-130
4	1665	-130
4	1705	-100
4	1740	-130
4	1765	-120
4	1800	-130
4	1845	-120

#brick
1	-10	160
1	-10	140
1	-10	120
1	-10	100
1	-10	80



#Goomba
2	640	140
2	240	140
2	940	140
2	980	140
#Goombafly
12	1040	140

#Koopas
3	550	100
3	1450	100
3	2104	100

#Mushroom


#LuckyBrick	
7	248	69
7	663	149
7	1479	133

#LuckyBrickCoin
8	183	117
8	199	117
8	231	69
8	424	84
8	712	117

#Block
9	265	148
9	295	115
9	423	148
9	453	148
9	487	116
9	502	116
9	535	84
9	550	84
9	537	164
9	582	164
9	1290	164
9	1320	164
9	1350	164
9	1320	132
9	1350	132
9	1384	132
9	1351	100
9	1381	100
9	1415	100
9	2167	147
9	2200	52
9	1337	-77
9	1353	-77
9	1432	-29
9	1444	-29
9	1510	-44
9	1550	-44
9	1590	-44
9	1630	-44
9	1669	-44

#Leaf
#13	100	40

#PlantBullet
14	367	111
14	1870	140

#Fire
#15	300	100



#KoopasFly
17	1340	40
17	1380	20
17	1420	10

#PlantPiranha
18	1807	140

#Pipe
16	367	148
16	1807	164
16	1871	148



#Rock
5 	1513	100	16	15	2	110012	110012	110012
5 	1592	148	16	15	2	110012	110012	110012
5 	1579	164	16	15	3	110012	110012	110012
5 	1610	132	16	15	1	110012	110012	110012
5 	1672	148	16	15	2	110012	110012	110012
5 	1671	164	16	15	3	110012	110012	110012
5 	1672	132	16	15	1	110012	110012	110012
5 	2263	131	16	15	2	110012	110012	110012
5 	2265	70	16	15	2	110012	110012	110012



#Platform
5 	0	180	16	15	40	110012	110012	110012
5 	635	165	15.9	15	29	110012	110012	110012
5 	1160	180	16	15	22	110012	110012	110012
5 	1543	180	16	15	5	110012	110012	110012
5 	1951	180	576	15	1	200001	200001	200001
5 	2265	180	16	15	35	110012	110012	110012
5 	2100	355	16	15	200	110012	110012	110012

#BreakableBrick
19	2040	164
19	2040	148
19	2040	133
19	2024	164
19	2024	148
19	2024	133
19	2008	164
19	2008	148
19	2008	133
19	1992	164
19	1992	148
19	1992	133
19	1977	164
19	1977	148
19	2104	164
19	2104	148
19	2120	164
19	2056	164
19	1961	164

#MAPUNDER
20	2270	-122
20	2335	212

